"Var1" "Freq"
"615" "怎么样" 39
"616" "心情" 39
"617" "显得" 39
"618" "外" 39
"619" "是否" 39
"620" "取出" 39
"621" "名片" 39
"622" "嘛" 39
"623" "讲" 39
"624" "根本" 39
"625" "端" 39
"626" "玻璃" 39
"627" "包" 39
"628" "中年" 38
"629" "这家" 38
"630" "舞" 38
"631" "说明" 38
"632" "杀" 38
"633" "去年" 38
"634" "目光" 38
"635" "牟" 38
"636" "久" 38
"637" "股票" 38
"638" "感" 38
"639" "朝" 38
"640" "不同" 38
"641" "不错" 38
"642" "睁" 37
"643" "印象" 37
"644" "一切" 37
"645" "谢谢" 37
"646" "想法" 37
"647" "台" 37
"648" "生活" 37
"649" "解释" 37
"650" "动" 37
"651" "车站" 37
"652" "背" 37
"653" "重要" 36
"654" "在场" 36
"655" "元" 36
"656" "凶手" 36
"657" "小孩" 36
"658" "显然" 36
"659" "屋" 36
"660" "位" 36
"661" "通过" 36
"662" "叹" 36
"663" "室" 36
"664" "人员" 36
"665" "轻轻" 36
"666" "怕" 36
"667" "开口" 36
"668" "究竟" 36
"669" "见面" 36
"670" "回头" 36
"671" "方面" 36
"672" "发" 36
"673" "产生" 36
"674" "本来" 36
"675" "摆" 36
"676" "白色" 36
"677" "之间" 35
"678" "侦探" 35
"679" "这次" 35
"680" "园" 35
"681" "响" 35
"682" "下午" 35
"683" "微笑" 35
"684" "外套" 35
"685" "特别" 35
"686" "算是" 35
"687" "受到" 35
"688" "收" 35
"689" "前往" 35
"690" "旁边" 35
"691" "男生" 35
"692" "明天" 35
"693" "眉头" 35
"694" "卡带" 35
"695" "机会" 35
"696" "份" 35
"697" "案子" 35
"698" "手上" 34
"699" "手表" 34
"700" "社交" 34
"701" "稍" 34
"702" "墙" 34
"703" "浓" 34
"704" "那边" 34
"705" "忙" 34
"706" "冷" 34
"707" "近" 34
"708" "交往" 34
"709" "反应" 34
"710" "儿子" 34
"711" "多半" 34
"712" "次" 34
"713" "抱" 34
"714" "状况" 33
"715" "早上" 33
"716" "仔细" 33
"717" "遇到" 33
"718" "小时" 33
"719" "相关" 33
"720" "现场" 33
"721" "忘" 33
"722" "吐" 33
"723" "受" 33
"724" "事实上" 33
"725" "清华" 33
"726" "楼梯" 33
"727" "空" 33
"728" "几次" 33
"729" "仿佛" 33
"730" "的话" 33
"731" "本文" 33
"732" "作" 32
"733" "因" 32
"734" "一半" 32
"735" "香" 32
"736" "系" 32
"737" "社员" 32
"738" "那样" 32
"739" "开门" 32
"740" "进入" 32
"741" "今年" 32
"742" "加" 32
"743" "技术" 32
"744" "敢" 32
"745" "盖" 32
"746" "得到" 32
"747" "袋" 32
"748" "大约" 32
"749" "打算" 32
"750" "厨房" 32
"751" "出门" 32
"752" "曾经" 32
"753" "闭" 32
"754" "抱歉" 32
"755" "嘴角" 31
"756" "只不过" 31
"757" "月" 31
"758" "一会儿" 31
"759" "下去" 31
"760" "位于" 31
"761" "停下" 31
"762" "书" 31
"763" "弄" 31
"764" "模样" 31
"765" "明" 31
"766" "落" 31
"767" "理由" 31
"768" "考虑" 31
"769" "旧" 31
"770" "夹" 31
"771" "对于" 31
"772" "动作" 31
"773" "戴" 31
"774" "大家" 31
"775" "成田" 31
"776" "衬衫" 31
"777" "参加" 31
"778" "不要" 31
"779" "不安" 31
"780" "报纸" 31
"781" "爱" 31
"782" "走廊" 30
"783" "专家" 30
"784" "抓" 30
"785" "直觉" 30
"786" "一脸" 30
"787" "烟灰缸" 30
"788" "需要" 30
"789" "刑警" 30
"790" "星期" 30
"791" "鞋" 30
"792" "四周" 30
"793" "室内" 30
